HORA,IDADE,SEXO,TIPO,ARMA,CIDADE
1,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
4,25,MASCULINO,HOMICÍDIO DOLOSO,PAF,RIO LARGO
4,32,MASCULINO,HOMICÍDIO DOLOSO,ESPANCADO,MACEIÓ
11,35,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
20,19,FEMININO,FEMINICÍDIO,PAF,SANTANA DO IPANEMA
20,21,MASCULINO,HOMICÍDIO DOLOSO,PAF,SANTANA DO IPANEMA
0,37,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
19,51,FEMININO,HOMICÍDIO DOLOSO,BRANCA,PORTO CALVO
16,15,MASCULINO,HOMICÍDIO DOLOSO,PAF,CORURIPE
18,17,FEMININO,HOMICÍDIO DOLOSO,PAF,CORURIPE
20,63,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,SÃO MIGUEL DOS CAMPOS
20,47,MASCULINO,HOMICÍDIO DOLOSO,PAF,UNIÃO DOS PALMARES
21,19,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
3,38,FEMININO,HOMICÍDIO DOLOSO,BRANCA,MATRIZ DE CAMARAGI
9,57,MASCULINO,HOMICÍDIO DOLOSO,PAF,UNIÃO DOS PALMARES
16,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO JOSÉ DA LAJE
21,17,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
23,24,FEMININO,HOMICÍDIO DOLOSO,PAF,IBATEGUARA
23,20,FEMININO,HOMICÍDIO DOLOSO,PAF,IBATEGUARA
11,25,MASCULINO,HOMICÍDIO DOLOSO,PAF/B,MACEIÓ
13,25,MASCULINO,ROUBO COM RESULTADO MORTE,PAF,SÃO JOSÉ DA TAPERA
19,15,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
20,20,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,ARAPIRACA
22,35,MASCULINO,HOMICÍDIO DOLOSO,PAF,MARECHAL DEODORO 
23,26,MASCULINO,HOMICÍDIO DOLOSO,PAF,PÃO DE AÇÚCAR
14,16,MASCULINO,HOMICÍDIO DOLOSO,PAF,MARAVILHA
22,23,MASCULINO,HOMICÍDIO DOLOSO,PAF,CAMPO GRANDE
16,20,MASCULINO,HOMICÍDIO DOLOSO,PAF/B,MACEIÓ
17,28,MASCULINO,HOMICÍDIO DOLOSO,PAF,JUNQUEIRO
19,70,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
6,41,MASCULINO,HOMICÍDIO DOLOSO,PAF,PENEDO
18,32,MASCULINO,HOMICÍDIO DOLOSO,PAF,SANTA LUZIA DO NORTE
22,22,MASCULINO,HOMICÍDIO DOLOSO,PAF,CORURIPE
1,25,FEMININO,FEMINICÍDIO,BRANCA,MURICI
3,21,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
8,37,MASCULINO,HOMICÍDIO DOLOSO,PAF,PORTO CALVO
14,19,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
1,24,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,MURICI
1,39,MASCULINO,HOMICÍDIO DOLOSO,BRANCA,SÃO MIGUEL DOS MILAGRES
2,27,MASCULINO,HOMICÍDIO DOLOSO,ESPANCADO,JARAMATAIA
4,64,MASCULINO,HOMICÍDIO DOLOSO,PAF,TEOTÔNIO VILELA
13,18,MASCULINO,HOMICÍDIO DOLOSO,PAF,ARAPIRACA
19,31,MASCULINO,ROUBO COM RESULTADO MORTE,ESPANCADO,MACEIÓ
20,39,MASCULINO,HOMICÍDIO DOLOSO,PAF,SÃO MIGUEL DOS CAMPOS
20,20,MASCULINO,HOMICÍDIO DOLOSO,PAF,MACEIÓ
20,22,MASCULINO,HOMICÍDIO DOLOSO,PAF,RIO LARGO
21,22,MASCULINO,HOMICÍDIO DOLOSO,PAF,TEOTÔNIO VILELA
22,29,MASCULINO,HOMICÍDIO DOLOSO,PAF,CAMPO GRANDE
1,23,MASCULINO,HOMICÍDIO DOLOSO,PAF,BOCA DA MATA
